,Fecha,humedad_relativa
736,2008-10-07,83.0
739,2008-10-08,60.666666666666664
742,2008-10-09,82.0
745,2008-10-10,94.66666666666667
748,2008-10-11,79.33333333333333
751,2008-10-12,79.33333333333333
754,2008-10-13,96.66666666666667
757,2008-10-14,84.66666666666667
760,2008-10-15,78.33333333333333
763,2008-10-16,82.0
766,2008-10-17,82.0
769,2008-10-18,85.66666666666667
772,2008-10-19,83.66666666666667
775,2008-10-20,86.33333333333333
778,2008-10-21,87.0
781,2008-10-22,83.33333333333333
784,2008-10-23,86.33333333333333
787,2008-10-24,79.0
790,2008-10-25,83.0
793,2008-10-26,86.33333333333333
796,2008-11-11,80.66666666666667
799,2008-11-12,86.0
802,2008-11-13,86.33333333333333
805,2008-11-14,84.0
808,2008-11-15,77.0
811,2008-11-16,82.66666666666667
814,2008-11-17,86.0
817,2008-11-18,79.66666666666667
820,2008-11-19,85.33333333333333
823,2008-11-20,86.0
826,2008-11-21,85.0
829,2008-11-22,85.0
832,2008-11-23,87.33333333333333
835,2008-11-24,88.0
838,2008-11-25,85.33333333333333
841,2008-11-26,95.33333333333333
844,2008-11-27,81.0
847,2008-11-28,78.0
850,2008-11-29,76.33333333333333
853,2008-11-30,79.66666666666667
856,2008-12-02,95.0
859,2008-12-03,82.33333333333333
862,2008-12-04,81.0
865,2008-12-05,81.0
868,2008-12-06,80.0
871,2008-12-07,86.0
874,2008-12-08,80.33333333333333
877,2008-12-09,74.0
880,2008-12-10,77.33333333333333
883,2008-12-11,80.66666666666667
886,2008-12-12,81.0
889,2008-12-13,83.33333333333333
892,2008-12-14,86.33333333333333
895,2008-12-15,81.66666666666667
898,2008-12-16,89.0
901,2008-12-17,75.0
904,2008-12-18,79.0
907,2008-12-19,90.66666666666667
910,2008-12-20,74.33333333333333
913,2008-12-21,76.33333333333333
916,2008-12-22,87.33333333333333
919,2008-12-23,85.66666666666667
922,2008-12-24,80.0
925,2008-12-25,81.33333333333333
928,2008-12-26,90.0
931,2008-12-27,80.0
934,2008-12-28,83.33333333333333
937,2008-12-29,85.0
940,2008-12-30,85.0
943,2008-12-31,79.5
945,2009-03-02,77.33333333333333
948,2009-03-03,80.0
950,2009-03-04,85.0
953,2009-03-05,70.66666666666667
956,2009-03-06,69.66666666666667
959,2009-03-07,74.66666666666667
962,2009-03-08,68.66666666666667
965,2009-03-09,76.33333333333333
968,2009-03-10,78.33333333333333
971,2009-03-11,76.33333333333333
974,2009-03-12,94
975,2009-03-13,87.5
977,2009-03-14,78.0
980,2009-03-15,78.66666666666667
983,2009-03-16,79.33333333333333
986,2009-03-17,90.0
989,2009-03-18,83.33333333333333
992,2009-03-19,88.33333333333333
995,2009-03-20,82.0
998,2009-03-21,82.33333333333333
1001,2009-03-22,75.66666666666667
1004,2009-03-23,86.33333333333333
1007,2009-03-24,74.0
1010,2009-03-25,78.33333333333333
1013,2009-03-26,80.66666666666667
1016,2009-03-27,72.33333333333333
1019,2009-03-28,81.33333333333333
1022,2009-03-29,82.0
1025,2009-03-30,74.66666666666667
1028,2009-03-31,77.0
1031,2009-04-01,79.33333333333333
1034,2009-04-02,70.66666666666667
1037,2009-04-03,67.0
1040,2009-04-04,65.66666666666667
1043,2009-04-05,74.33333333333333
1046,2009-04-06,71.0
1048,2009-04-07,82.33333333333333
1051,2009-04-08,89.33333333333333
1054,2009-04-09,78.0
1057,2009-04-10,82.66666666666667
1060,2009-04-11,79.33333333333333
1063,2009-04-12,81.33333333333333
1066,2009-04-13,76.66666666666667
1069,2009-04-14,81.66666666666667
1072,2009-04-15,80.33333333333333
1075,2009-04-16,61.666666666666664
1078,2009-04-17,70.66666666666667
1081,2009-04-18,64.0
1084,2009-04-19,69.66666666666667
1087,2009-04-20,65.0
1090,2009-04-21,80.33333333333333
1093,2009-04-22,69.33333333333333
1096,2009-04-23,73.0
1099,2009-04-24,73.33333333333333
1102,2009-04-25,70.33333333333333
1105,2009-04-26,70.66666666666667
1108,2009-04-27,74.0
1111,2009-04-28,74.0
1114,2009-04-29,75.0
1117,2009-04-30,83.33333333333333
1120,2009-05-01,81.33333333333333
1123,2009-05-02,84.33333333333333
1126,2009-05-03,86.0
1129,2009-05-04,79.33333333333333
1132,2009-05-05,69.66666666666667
1135,2009-05-06,77.0
1138,2009-05-07,74.0
1141,2009-05-08,72.0
1144,2009-05-09,71.5
1146,2009-05-10,69.0
1148,2009-05-11,83.33333333333333
1151,2009-05-12,72.0
1154,2009-05-13,83.66666666666667
1157,2009-05-14,71.33333333333333
1160,2009-05-15,77.0
1163,2009-05-16,85.33333333333333
1166,2009-05-17,72.33333333333333
1169,2009-05-18,68.66666666666667
1172,2009-05-19,71.33333333333333
1175,2009-05-20,61.5
1177,2009-05-22,68.33333333333333
1180,2009-05-23,72.33333333333333
1183,2009-05-24,77.66666666666667
1186,2009-05-25,77.33333333333333
1189,2009-05-26,70.66666666666667
1192,2009-05-27,74.33333333333333
1195,2009-05-28,79.0
1198,2009-05-29,89.0
1201,2009-05-30,75.33333333333333
1204,2009-05-31,74.33333333333333
1207,2009-07-01,72.33333333333333
1210,2009-07-02,70.0
1213,2009-07-03,79.33333333333333
1216,2009-07-04,75.0
1219,2009-07-05,68.66666666666667
1222,2009-07-06,69.33333333333333
1225,2009-07-07,56.666666666666664
1228,2009-07-08,72.33333333333333
1231,2009-07-09,63.0
1233,2009-07-10,60.0
1235,2009-07-11,71.0
1238,2009-07-12,71.0
1240,2009-07-13,63.0
1242,2009-07-14,54.666666666666664
1245,2009-07-15,54.0
1248,2009-07-16,53.0
1251,2009-07-17,52.333333333333336
1254,2009-07-18,57.0
1257,2009-07-19,60.333333333333336
1260,2009-07-20,77.0
1263,2009-07-21,87.66666666666667
1266,2009-07-22,83.0
1269,2009-07-23,80.0
1272,2009-07-24,54.333333333333336
1275,2009-07-25,65.0
1277,2009-07-26,54.333333333333336
1280,2009-07-27,80.0
1282,2009-07-28,58.333333333333336
1285,2009-07-29,57.666666666666664
1288,2009-07-30,59.666666666666664
1291,2009-07-31,65.0
1294,2009-08-01,60.666666666666664
1297,2009-08-02,57.666666666666664
1300,2009-08-03,55.666666666666664
1303,2009-08-04,58.666666666666664
1306,2009-08-05,79.0
1309,2009-08-06,77.33333333333333
1312,2009-08-07,72.5
1314,2009-08-08,71.66666666666667
1317,2009-08-09,79.0
1319,2009-08-10,54.0
1322,2009-08-11,56.666666666666664
1325,2009-08-12,70.0
1328,2009-08-13,59.333333333333336
1331,2009-08-14,60.0
1334,2009-08-15,63.333333333333336
1337,2009-08-16,81.66666666666667
1340,2009-08-17,84.0
1343,2009-08-18,76.66666666666667
1346,2009-08-19,78.33333333333333
1349,2009-08-20,81.0
1352,2009-08-21,74.66666666666667
1355,2009-08-22,71.66666666666667
1358,2009-08-23,80.0
1361,2009-08-24,78.33333333333333
1364,2009-08-25,61.0
1367,2009-08-26,60.0
1370,2009-08-27,62.5
1372,2009-08-28,59.333333333333336
1375,2009-08-29,69.33333333333333
1378,2009-08-30,75.0
1381,2009-08-31,75.0
1383,2009-10-14,89.0
1386,2009-10-15,66.0
1389,2009-10-16,90.5
1391,2009-10-17,69.66666666666667
1394,2009-10-18,69.66666666666667
1397,2009-10-19,75.33333333333333
1400,2009-10-20,66.66666666666667
1403,2009-10-21,84.0
1405,2009-10-22,72.33333333333333
1408,2009-10-23,91.0
1410,2009-10-24,77.0
1413,2009-10-25,85.0
1415,2009-10-26,72.5
1417,2009-10-27,70.33333333333333
1420,2009-10-28,67.33333333333333
1423,2009-10-29,74.33333333333333
1426,2009-10-30,72.0
1429,2009-10-31,81.33333333333333
1432,2009-11-01,85.66666666666667
1435,2009-11-02,72.66666666666667
1438,2009-11-03,74.0
1441,2009-11-04,74.0
1444,2009-11-05,75.66666666666667
1447,2009-11-06,77.0
1450,2009-11-07,78.66666666666667
1453,2009-11-08,79.33333333333333
1456,2009-11-09,79.66666666666667
1459,2009-11-10,75.0
1462,2009-11-11,81.0
1465,2009-11-12,83.66666666666667
1468,2009-11-13,93.0
1471,2009-11-14,82.33333333333333
1474,2009-11-15,81.66666666666667
1477,2009-11-16,76.66666666666667
1480,2009-11-17,78.0
1483,2009-11-18,78.66666666666667
1486,2009-11-19,77.33333333333333
1489,2009-11-20,69.66666666666667
1492,2009-11-21,65.0
1495,2009-11-22,76.33333333333333
1498,2009-11-23,87.33333333333333
1501,2009-11-24,79.0
1504,2009-11-25,80.0
1507,2009-11-26,76.66666666666667
1510,2009-11-27,83.66666666666667
1513,2009-11-28,79.33333333333333
1516,2009-11-29,79.33333333333333
1519,2009-11-30,81.33333333333333
1522,2009-12-01,78.0
1525,2009-12-02,79.0
1528,2009-12-03,80.0
1531,2009-12-04,79.33333333333333
1534,2009-12-05,85.33333333333333
1537,2009-12-06,83.33333333333333
1540,2009-12-07,78.0
1543,2009-12-08,82.33333333333333
1546,2009-12-09,77.33333333333333
1549,2009-12-10,78.0
1552,2009-12-11,75.33333333333333
1555,2009-12-12,79.0
1558,2009-12-13,70.0
1561,2009-12-14,67.33333333333333
1564,2009-12-15,71.0
1567,2009-12-16,77.33333333333333
1570,2009-12-17,71.33333333333333
1573,2009-12-18,74.0
1576,2009-12-19,86.33333333333333
1579,2009-12-20,81.33333333333333
1582,2009-12-21,88.0
1585,2009-12-22,85.0
1588,2009-12-23,76.0
1591,2009-12-24,76.0
1594,2009-12-25,83.33333333333333
1597,2009-12-26,84.33333333333333
1600,2009-12-27,82.66666666666667
1603,2010-01-01,71.33333333333333
1606,2010-01-02,71.66666666666667
1609,2010-01-03,59.0
1612,2010-01-04,60.333333333333336
1615,2010-01-05,67.66666666666667
1618,2010-01-06,69.0
1621,2010-01-07,68.0
1624,2010-01-08,67.0
1627,2010-01-09,72.0
1630,2010-01-10,81.0
1633,2010-01-11,76.33333333333333
1636,2010-01-12,70.66666666666667
1639,2010-01-13,63.333333333333336
1642,2010-01-14,63.0
1645,2010-01-15,67.33333333333333
1648,2010-01-16,61.333333333333336
1651,2010-01-17,74.0
1654,2010-01-18,62.333333333333336
1657,2010-01-19,65.0
1660,2010-01-20,66.33333333333333
1663,2010-01-21,58.0
